orderdate,fixed_date,month
24-02-2003,2003-02-24,2
07-05-2003,2003-05-07,5
01-07-2003,2003-07-01,7
25-08-2003,2003-08-25,8
10-10-2003,2003-10-10,10
28-10-2003,2003-10-28,10
11-11-2003,2003-11-11,11
18-11-2003,2003-11-18,11
01-12-2003,2003-12-01,12
15-01-2004,2004-01-15,1
20-02-2004,2004-02-20,2
05-04-2004,2004-04-05,4
18-05-2004,2004-05-18,5
28-06-2004,2004-06-28,6
23-07-2004,2004-07-23,7
27-08-2004,2004-08-27,8
30-09-2004,2004-09-30,9
15-10-2004,2004-10-15,10
02-11-2004,2004-11-02,11
15-11-2004,2004-11-15,11
24-11-2004,2004-11-24,11
17-12-2004,2004-12-17,12
03-02-2005,2005-02-03,2
03-03-2005,2005-03-03,3
08-04-2005,2005-04-08,4
13-05-2005,2005-05-13,5
29-01-2003,2003-01-29,1
24-03-2003,2003-03-24,3
28-05-2003,2003-05-28,5
24-07-2003,2003-07-24,7
19-09-2003,2003-09-19,9
20-10-2003,2003-10-20,10
06-11-2003,2003-11-06,11
13-11-2003,2003-11-13,11
25-11-2003,2003-11-25,11
05-12-2003,2003-12-05,12
29-01-2004,2004-01-29,1
10-03-2004,2004-03-10,3
04-05-2004,2004-05-04,5
15-06-2004,2004-06-15,6
19-07-2004,2004-07-19,7
17-08-2004,2004-08-17,8
08-09-2004,2004-09-08,9
11-10-2004,2004-10-11,10
21-10-2004,2004-10-21,10
04-11-2004,2004-11-04,11
18-11-2004,2004-11-18,11
29-11-2004,2004-11-29,11
10-12-2004,2004-12-10,12
20-01-2005,2005-01-20,1
17-02-2005,2005-02-17,2
09-03-2005,2005-03-09,3
01-05-2005,2005-05-01,5
31-05-2005,2005-05-31,5
24-02-2003,2003-02-24,2
29-04-2003,2003-04-29,4
01-07-2003,2003-07-01,7
25-08-2003,2003-08-25,8
10-10-2003,2003-10-10,10
28-10-2003,2003-10-28,10
11-11-2003,2003-11-11,11
18-11-2003,2003-11-18,11
01-12-2003,2003-12-01,12
12-01-2004,2004-01-12,1
20-02-2004,2004-02-20,2
03-04-2004,2004-04-03,4
18-05-2004,2004-05-18,5
28-06-2004,2004-06-28,6
23-07-2004,2004-07-23,7
27-08-2004,2004-08-27,8
27-09-2004,2004-09-27,9
15-10-2004,2004-10-15,10
02-11-2004,2004-11-02,11
15-11-2004,2004-11-15,11
23-11-2004,2004-11-23,11
17-12-2004,2004-12-17,12
02-02-2005,2005-02-02,2
03-03-2005,2005-03-03,3
07-04-2005,2005-04-07,4
13-05-2005,2005-05-13,5
24-02-2003,2003-02-24,2
29-04-2003,2003-04-29,4
01-07-2003,2003-07-01,7
25-08-2003,2003-08-25,8
10-10-2003,2003-10-10,10
28-10-2003,2003-10-28,10
11-11-2003,2003-11-11,11
18-11-2003,2003-11-18,11
01-12-2003,2003-12-01,12
12-01-2004,2004-01-12,1
20-02-2004,2004-02-20,2
05-04-2004,2004-04-05,4
18-05-2004,2004-05-18,5
28-06-2004,2004-06-28,6
23-07-2004,2004-07-23,7
27-08-2004,2004-08-27,8
30-09-2004,2004-09-30,9
15-10-2004,2004-10-15,10
02-11-2004,2004-11-02,11
15-11-2004,2004-11-15,11
23-11-2004,2004-11-23,11
05-01-2005,2005-01-05,1
02-02-2005,2005-02-02,2
03-03-2005,2005-03-03,3
08-04-2005,2005-04-08,4
13-05-2005,2005-05-13,5
11-02-2003,2003-02-11,2
28-04-2003,2003-04-28,4
12-06-2003,2003-06-12,6
10-08-2003,2003-08-10,8
06-10-2003,2003-10-06,10
23-10-2003,2003-10-23,10
08-11-2003,2003-11-08,11
14-11-2003,2003-11-14,11
26-11-2003,2003-11-26,11
09-01-2004,2004-01-09,1
19-02-2004,2004-02-19,2
07-05-2004,2004-05-07,5
17-06-2004,2004-06-17,6
21-07-2004,2004-07-21,7
20-08-2004,2004-08-20,8
10-09-2004,2004-09-10,9
14-10-2004,2004-10-14,10
01-11-2004,2004-11-01,11
05-11-2004,2004-11-05,11
21-11-2004,2004-11-21,11
02-12-2004,2004-12-02,12
15-12-2004,2004-12-15,12
31-01-2005,2005-01-31,1
23-02-2005,2005-02-23,2
17-03-2005,2005-03-17,3
01-04-2005,2005-04-01,4
06-05-2005,2005-05-06,5
29-01-2003,2003-01-29,1
01-04-2003,2003-04-01,4
28-05-2003,2003-05-28,5
24-07-2003,2003-07-24,7
19-09-2003,2003-09-19,9
21-10-2003,2003-10-21,10
06-11-2003,2003-11-06,11
13-11-2003,2003-11-13,11
25-11-2003,2003-11-25,11
09-12-2003,2003-12-09,12
04-02-2004,2004-02-04,2
11-03-2004,2004-03-11,3
04-05-2004,2004-05-04,5
15-06-2004,2004-06-15,6
19-07-2004,2004-07-19,7
19-08-2004,2004-08-19,8
08-09-2004,2004-09-08,9
13-10-2004,2004-10-13,10
22-10-2004,2004-10-22,10
04-11-2004,2004-11-04,11
19-11-2004,2004-11-19,11
29-11-2004,2004-11-29,11
10-12-2004,2004-12-10,12
20-01-2005,2005-01-20,1
17-02-2005,2005-02-17,2
09-03-2005,2005-03-09,3
01-05-2005,2005-05-01,5
31-05-2005,2005-05-31,5
03-03-2003,2003-03-03,3
08-05-2003,2003-05-08,5
02-07-2003,2003-07-02,7
05-09-2003,2003-09-05,9
10-10-2003,2003-10-10,10
04-11-2003,2003-11-04,11
12-11-2003,2003-11-12,11
20-11-2003,2003-11-20,11
02-12-2003,2003-12-02,12
15-01-2004,2004-01-15,1
22-02-2004,2004-02-22,2
09-04-2004,2004-04-09,4
01-06-2004,2004-06-01,6
06-07-2004,2004-07-06,7
02-08-2004,2004-08-02,8
30-08-2004,2004-08-30,8
04-10-2003,2003-10-04,10
16-10-2004,2004-10-16,10
03-11-2004,2004-11-03,11
15-11-2004,2004-11-15,11
24-11-2004,2004-11-24,11
06-01-2005,2005-01-06,1
03-02-2005,2005-02-03,2
03-03-2005,2005-03-03,3
17-05-2005,2005-05-17,5
11-02-2003,2003-02-11,2
16-04-2003,2003-04-16,4
03-06-2003,2003-06-03,6
08-08-2003,2003-08-08,8
28-09-2003,2003-09-28,9
22-10-2003,2003-10-22,10
06-11-2003,2003-11-06,11
14-11-2003,2003-11-14,11
26-11-2003,2003-11-26,11
02-01-2004,2004-01-02,1
12-02-2004,2004-02-12,2
19-03-2004,2004-03-19,3
05-05-2004,2004-05-05,5
20-07-2004,2004-07-20,7
20-08-2004,2004-08-20,8
09-09-2004,2004-09-09,9
14-10-2004,2004-10-14,10
22-10-2004,2004-10-22,10
05-11-2004,2004-11-05,11
20-11-2004,2004-11-20,11
01-11-2004,2004-11-01,11
15-12-2004,2004-12-15,12
23-01-2005,2005-01-23,1
17-02-2005,2005-02-17,2
17-03-2005,2005-03-17,3
05-05-2005,2005-05-05,5
29-01-2003,2003-01-29,1
26-03-2003,2003-03-26,3
28-05-2003,2003-05-28,5
24-07-2003,2003-07-24,7
19-09-2003,2003-09-19,9
21-10-2003,2003-10-21,10
06-11-2003,2003-11-06,11
13-11-2003,2003-11-13,11
25-11-2003,2003-11-25,11
05-12-2003,2003-12-05,12
02-02-2004,2004-02-02,2
11-03-2004,2004-03-11,3
04-05-2004,2004-05-04,5
15-06-2004,2004-06-15,6
19-07-2004,2004-07-19,7
19-08-2004,2004-08-19,8
08-09-2004,2004-09-08,9
11-10-2004,2004-10-11,10
22-10-2004,2004-10-22,10
04-11-2004,2004-11-04,11
18-11-2004,2004-11-18,11
29-11-2004,2004-11-29,11
10-12-2004,2004-12-10,12
20-01-2005,2005-01-20,1
17-02-2005,2005-02-17,2
09-03-2005,2005-03-09,3
01-05-2005,2005-05-01,5
31-05-2005,2005-05-31,5
24-02-2003,2003-02-24,2
07-05-2003,2003-05-07,5
01-07-2003,2003-07-01,7
25-08-2003,2003-08-25,8
10-10-2003,2003-10-10,10
04-11-2003,2003-11-04,11
11-11-2003,2003-11-11,11
18-11-2003,2003-11-18,11
01-12-2003,2003-12-01,12
15-01-2004,2004-01-15,1
21-02-2004,2004-02-21,2
05-04-2004,2004-04-05,4
18-05-2004,2004-05-18,5
28-06-2004,2004-06-28,6
02-08-2004,2004-08-02,8
27-08-2004,2004-08-27,8
30-09-2004,2004-09-30,9
15-10-2004,2004-10-15,10
03-11-2004,2004-11-03,11
15-11-2004,2004-11-15,11
24-11-2004,2004-11-24,11
05-01-2005,2005-01-05,1
03-02-2005,2005-02-03,2
03-03-2005,2005-03-03,3
08-04-2005,2005-04-08,4
13-05-2005,2005-05-13,5
31-01-2003,2003-01-31,1
16-04-2003,2003-04-16,4
03-06-2003,2003-06-03,6
08-08-2003,2003-08-08,8
28-09-2003,2003-09-28,9
22-10-2003,2003-10-22,10
06-11-2003,2003-11-06,11
14-11-2003,2003-11-14,11
26-11-2003,2003-11-26,11
02-01-2004,2004-01-02,1
12-02-2004,2004-02-12,2
15-03-2004,2004-03-15,3
05-05-2004,2004-05-05,5
20-07-2004,2004-07-20,7
20-08-2004,2004-08-20,8
09-09-2004,2004-09-09,9
14-10-2004,2004-10-14,10
22-10-2004,2004-10-22,10
05-11-2004,2004-11-05,11
20-11-2004,2004-11-20,11
01-11-2004,2004-11-01,11
10-12-2004,2004-12-10,12
26-01-2005,2005-01-26,1
17-02-2005,2005-02-17,2
05-05-2005,2005-05-05,5
03-03-2003,2003-03-03,3
08-05-2003,2003-05-08,5
02-07-2003,2003-07-02,7
05-09-2003,2003-09-05,9
11-10-2003,2003-10-11,10
04-11-2003,2003-11-04,11
12-11-2003,2003-11-12,11
20-11-2003,2003-11-20,11
02-12-2003,2003-12-02,12
16-01-2004,2004-01-16,1
22-02-2004,2004-02-22,2
09-04-2004,2004-04-09,4
01-06-2004,2004-06-01,6
06-07-2004,2004-07-06,7
02-08-2004,2004-08-02,8
30-08-2004,2004-08-30,8
04-10-2003,2003-10-04,10
16-10-2004,2004-10-16,10
03-11-2004,2004-11-03,11
15-11-2004,2004-11-15,11
24-11-2004,2004-11-24,11
06-01-2005,2005-01-06,1
08-02-2005,2005-02-08,2
03-03-2005,2005-03-03,3
17-05-2005,2005-05-17,5
11-02-2003,2003-02-11,2
16-04-2003,2003-04-16,4
03-06-2003,2003-06-03,6
08-08-2003,2003-08-08,8
28-09-2003,2003-09-28,9
22-10-2003,2003-10-22,10
06-11-2003,2003-11-06,11
14-11-2003,2003-11-14,11
26-11-2003,2003-11-26,11
02-01-2004,2004-01-02,1
12-02-2004,2004-02-12,2
19-03-2004,2004-03-19,3
05-05-2004,2004-05-05,5
20-07-2004,2004-07-20,7
20-08-2004,2004-08-20,8
09-09-2004,2004-09-09,9
14-10-2004,2004-10-14,10
22-10-2004,2004-10-22,10
05-11-2004,2004-11-05,11
20-11-2004,2004-11-20,11
01-12-2004,2004-12-01,12
15-12-2004,2004-12-15,12
26-01-2005,2005-01-26,1
17-02-2005,2005-02-17,2
23-03-2005,2005-03-23,3
05-05-2005,2005-05-05,5
03-03-2003,2003-03-03,3
08-05-2003,2003-05-08,5
02-07-2003,2003-07-02,7
05-09-2003,2003-09-05,9
10-10-2003,2003-10-10,10
04-11-2003,2003-11-04,11
12-11-2003,2003-11-12,11
20-11-2003,2003-11-20,11
02-12-2003,2003-12-02,12
15-01-2004,2004-01-15,1
22-02-2004,2004-02-22,2
09-04-2004,2004-04-09,4
01-06-2004,2004-06-01,6
06-07-2004,2004-07-06,7
02-08-2004,2004-08-02,8
30-08-2004,2004-08-30,8
04-10-2003,2003-10-04,10
16-10-2004,2004-10-16,10
03-11-2004,2004-11-03,11
15-11-2004,2004-11-15,11
24-11-2004,2004-11-24,11
06-01-2005,2005-01-06,1
09-02-2005,2005-02-09,2
03-03-2005,2005-03-03,3
17-05-2005,2005-05-17,5
31-01-2003,2003-01-31,1
04-04-2003,2003-04-04,4
03-06-2003,2003-06-03,6
01-08-2003,2003-08-01,8
21-09-2003,2003-09-21,9
22-10-2003,2003-10-22,10
06-11-2003,2003-11-06,11
14-11-2003,2003-11-14,11
25-11-2003,2003-11-25,11
09-12-2003,2003-12-09,12
10-02-2004,2004-02-10,2
11-03-2004,2004-03-11,3
05-05-2004,2004-05-05,5
15-06-2004,2004-06-15,6
20-07-2004,2004-07-20,7
19-08-2004,2004-08-19,8
08-09-2004,2004-09-08,9
13-10-2004,2004-10-13,10
22-10-2004,2004-10-22,10
05-11-2004,2004-11-05,11
20-11-2004,2004-11-20,11
01-12-2004,2004-12-01,12
10-12-2004,2004-12-10,12
23-01-2005,2005-01-23,1
17-02-2005,2005-02-17,2
03-05-2005,2005-05-03,5
31-05-2005,2005-05-31,5
03-03-2003,2003-03-03,3
08-05-2003,2003-05-08,5
02-07-2003,2003-07-02,7
05-09-2003,2003-09-05,9
11-10-2003,2003-10-11,10
04-11-2003,2003-11-04,11
12-11-2003,2003-11-12,11
20-11-2003,2003-11-20,11
02-12-2003,2003-12-02,12
16-01-2004,2004-01-16,1
22-02-2004,2004-02-22,2
12-04-2004,2004-04-12,4
01-06-2004,2004-06-01,6
06-07-2004,2004-07-06,7
04-08-2004,2004-08-04,8
30-08-2004,2004-08-30,8
04-10-2003,2003-10-04,10
16-10-2004,2004-10-16,10
04-11-2004,2004-11-04,11
15-11-2004,2004-11-15,11
24-11-2004,2004-11-24,11
06-01-2005,2005-01-06,1
09-02-2005,2005-02-09,2
03-03-2005,2005-03-03,3
14-04-2005,2005-04-14,4
17-05-2005,2005-05-17,5
29-01-2003,2003-01-29,1
26-03-2003,2003-03-26,3
28-05-2003,2003-05-28,5
24-07-2003,2003-07-24,7
19-09-2003,2003-09-19,9
21-10-2003,2003-10-21,10
06-11-2003,2003-11-06,11
13-11-2003,2003-11-13,11
25-11-2003,2003-11-25,11
05-12-2003,2003-12-05,12
29-01-2004,2004-01-29,1
10-03-2004,2004-03-10,3
04-05-2004,2004-05-04,5
15-06-2004,2004-06-15,6
19-07-2004,2004-07-19,7
17-08-2004,2004-08-17,8
08-09-2004,2004-09-08,9
11-10-2004,2004-10-11,10
21-10-2004,2004-10-21,10
04-11-2004,2004-11-04,11
18-11-2004,2004-11-18,11
29-11-2004,2004-11-29,11
10-12-2004,2004-12-10,12
20-01-2005,2005-01-20,1
17-02-2005,2005-02-17,2
09-03-2005,2005-03-09,3
01-05-2005,2005-05-01,5
31-05-2005,2005-05-31,5
10-03-2003,2003-03-10,3
08-05-2003,2003-05-08,5
04-07-2003,2003-07-04,7
11-09-2003,2003-09-11,9
17-10-2003,2003-10-17,10
05-11-2003,2003-11-05,11
12-11-2003,2003-11-12,11
20-11-2003,2003-11-20,11
02-12-2003,2003-12-02,12
16-01-2004,2004-01-16,1
22-02-2004,2004-02-22,2
13-04-2004,2004-04-13,4
01-06-2004,2004-06-01,6
06-07-2004,2004-07-06,7
06-08-2004,2004-08-06,8
30-08-2004,2004-08-30,8
05-10-2003,2003-10-05,10
16-10-2004,2004-10-16,10
04-11-2004,2004-11-04,11
17-11-2004,2004-11-17,11
24-11-2004,2004-11-24,11
09-12-2004,2004-12-09,12
07-01-2005,2005-01-07,1
09-02-2005,2005-02-09,2
04-03-2005,2005-03-04,3
15-04-2005,2005-04-15,4
17-05-2005,2005-05-17,5
10-01-2003,2003-01-10,1
25-03-2003,2003-03-25,3
21-05-2003,2003-05-21,5
16-07-2003,2003-07-16,7
12-09-2003,2003-09-12,9
18-10-2003,2003-10-18,10
05-11-2003,2003-11-05,11
12-11-2003,2003-11-12,11
21-11-2003,2003-11-21,11
03-12-2003,2003-12-03,12
29-01-2004,2004-01-29,1
02-03-2004,2004-03-02,3
29-04-2004,2004-04-29,4
08-06-2004,2004-06-08,6
17-08-2004,2004-08-17,8
03-09-2004,2004-09-03,9
11-10-2004,2004-10-11,10
21-10-2004,2004-10-21,10
04-11-2004,2004-11-04,11
17-11-2004,2004-11-17,11
29-11-2004,2004-11-29,11
09-12-2004,2004-12-09,12
20-01-2005,2005-01-20,1
16-02-2005,2005-02-16,2
09-03-2005,2005-03-09,3
30-05-2005,2005-05-30,5
10-01-2003,2003-01-10,1
25-03-2003,2003-03-25,3
28-05-2003,2003-05-28,5
16-07-2003,2003-07-16,7
12-09-2003,2003-09-12,9
18-10-2003,2003-10-18,10
05-11-2003,2003-11-05,11
12-11-2003,2003-11-12,11
21-11-2003,2003-11-21,11
03-12-2003,2003-12-03,12
29-01-2004,2004-01-29,1
02-03-2004,2004-03-02,3
29-04-2004,2004-04-29,4
08-06-2004,2004-06-08,6
17-08-2004,2004-08-17,8
03-09-2004,2004-09-03,9
11-10-2004,2004-10-11,10
21-10-2004,2004-10-21,10
04-11-2004,2004-11-04,11
17-11-2004,2004-11-17,11
29-11-2004,2004-11-29,11
09-12-2004,2004-12-09,12
20-01-2005,2005-01-20,1
17-02-2005,2005-02-17,2
09-03-2005,2005-03-09,3
30-05-2005,2005-05-30,5
18-03-2003,2003-03-18,3
20-05-2003,2003-05-20,5
10-07-2003,2003-07-10,7
11-09-2003,2003-09-11,9
17-10-2003,2003-10-17,10
05-11-2003,2003-11-05,11
12-11-2003,2003-11-12,11
20-11-2003,2003-11-20,11
02-12-2003,2003-12-02,12
16-01-2004,2004-01-16,1
26-02-2004,2004-02-26,2
13-04-2004,2004-04-13,4
01-06-2004,2004-06-01,6
06-07-2004,2004-07-06,7
06-08-2004,2004-08-06,8
01-09-2004,2004-09-01,9
05-10-2003,2003-10-05,10
16-10-2004,2004-10-16,10
04-11-2004,2004-11-04,11
17-11-2004,2004-11-17,11
24-11-2004,2004-11-24,11
12-01-2005,2005-01-12,1
10-02-2005,2005-02-10,2
22-04-2005,2005-04-22,4
17-05-2005,2005-05-17,5
17-02-2003,2003-02-17,2
28-04-2003,2003-04-28,4
16-06-2003,2003-06-16,6
10-08-2003,2003-08-10,8
06-10-2003,2003-10-06,10
23-10-2003,2003-10-23,10
08-11-2003,2003-11-08,11
14-11-2003,2003-11-14,11
27-11-2003,2003-11-27,11
12-01-2004,2004-01-12,1
19-02-2004,2004-02-19,2
11-05-2004,2004-05-11,5
24-06-2004,2004-06-24,6
21-07-2004,2004-07-21,7
21-08-2004,2004-08-21,8
15-09-2004,2004-09-15,9
14-10-2004,2004-10-14,10
01-11-2004,2004-11-01,11
10-11-2004,2004-11-10,11
