year,month,monthly_revenue
2003,2,281672.3798828125
2003,5,385346.2199707031
2003,7,375463.7609863281
2003,8,395618.60009765625
2003,10,1136581.9431152344
2003,11,2059675.3254394531
2003,12,523752.9197998047
2004,1,633154.8375244141
2004,2,622839.0600585938
2004,4,412296.2395019531
2004,5,546876.779296875
2004,6,573348.4422607422
2004,7,654288.1818847656
2004,8,923002.5358886719
2004,9,641501.8171386719
2004,10,1105848.501586914
2004,11,2178096.015258789
2004,12,745605.3166503906
2005,2,716372.357421875
2005,3,748525.51953125
2005,4,523266.58044433594
2005,5,915722.1207275391
2003,1,259507.19946289062
2003,3,349009.80017089844
2003,9,527946.7219238281
2004,3,411467.4597167969
2005,1,679086.8392333984
2003,4,403219.10217285156
2003,6,336165.12145996094
