year,month,monthly_revenue,order_volume
2003,1,259507.19946289062,5
2003,2,281672.3798828125,3
2003,3,349009.80017089844,6
2003,4,403219.10217285156,7
2003,5,385346.2199707031,6
2003,6,336165.12145996094,6
2003,7,375463.7609863281,6
2003,8,395618.60009765625,5
2003,9,527946.7219238281,8
2003,10,1136581.9431152344,17
2003,11,2059675.3254394531,28
2003,12,523752.9197998047,7
2004,1,633154.8375244141,8
2004,2,622839.0600585938,10
2004,3,411467.4597167969,7
2004,4,412296.2395019531,10
2004,5,546876.779296875,8
2004,6,573348.4422607422,10
2004,7,654288.1818847656,10
2004,8,923002.5358886719,12
2004,9,641501.8171386719,12
2004,10,1105848.501586914,13
2004,11,2178096.015258789,33
2004,12,745605.3166503906,11
2005,1,679086.8392333984,12
2005,2,716372.357421875,12
2005,3,748525.51953125,12
2005,4,523266.58044433594,9
2005,5,915722.1207275391,14
